Departamento,Año,Mes,Consumo (m³),Temperatura promedio mensual (°C),Número de ocupantes,Superficie (m²),Piso,Estado de mantenimiento,Costo (BOB)
A01,2023,11,34.7,-3.61,3,54,0,Bueno,20.82
A01,2023,12,26.79,18.01,3,54,0,Bueno,16.07
A02,2014,1,22.66,18.44,2,80,0,Regular,13.6
A02,2014,2,28.64,4.3,2,80,0,Regular,17.18
A02,2014,3,23.95,17.59,2,80,0,Regular,14.37
A02,2014,4,21.86,27.52,2,80,0,Regular,13.11
A02,2014,5,36.06,-4.67,2,80,0,Regular,21.64
A02,2014,6,23.25,14.7,2,80,0,Regular,13.95
A02,2014,7,26.13,13.82,2,80,0,Regular,15.68
A02,2014,8,32.28,-0.36,2,80,0,Regular,19.37
A02,2014,9,32.76,-2.59,2,80,0,Regular,19.66
A02,2014,10,30.14,4.97,2,80,0,Regular,18.09
A02,2014,11,24.81,14.01,2,80,0,Regular,14.89
A02,2014,12,20.13,29.43,2,80,0,Regular,12.08
A02,2015,1,27.25,13.51,2,80,0,Regular,16.35
A02,2015,2,28.38,14.41,2,80,0,Regular,17.03
A02,2015,3,35.96,-1.37,2,80,0,Regular,21.57
A02,2015,4,33.21,4.26,2,80,0,Regular,19.93
A02,2015,5,20.44,20.98,2,80,0,Regular,12.26
A02,2015,6,28.83,4.86,2,80,0,Regular,17.3
A02,2015,7,30.62,7.0,2,80,0,Regular,18.37
A02,2015,8,20.61,24.85,2,80,0,Regular,12.36
A02,2015,9,33.55,3.79,2,80,0,Regular,20.13
A02,2015,10,35.42,-3.22,2,80,0,Regular,21.25
A02,2015,11,18.25,24.03,2,80,0,Regular,10.95
A02,2015,12,27.45,6.67,2,80,0,Regular,16.47
A02,2016,1,16.32,29.29,2,80,0,Regular,9.79
A02,2016,2,29.0,10.46,2,80,0,Regular,17.4
A02,2016,3,23.36,14.63,2,80,0,Regular,14.01
A02,2016,4,20.11,28.08,2,80,0,Regular,12.06
A02,2016,5,30.11,0.22,2,80,0,Regular,18.06
A02,2016,6,29.35,7.92,2,80,0,Regular,17.61
A02,2016,7,25.23,10.04,2,80,0,Regular,15.14
A02,2016,8,31.72,7.76,2,80,0,Regular,19.03
A02,2016,9,15.73,29.03,2,80,0,Regular,9.44
A02,2016,10,30.33,7.52,2,80,0,Regular,18.2
A02,2016,11,22.95,18.34,2,80,0,Regular,13.77
A02,2016,12,27.95,14.6,2,80,0,Regular,16.77
A02,2017,1,19.95,29.08,2,80,0,Regular,11.97
A02,2017,2,17.72,27.4,2,80,0,Regular,10.63
A02,2017,3,34.46,0.69,2,80,0,Regular,20.67
A02,2017,4,31.88,1.2,2,80,0,Regular,19.13
A02,2017,5,34.91,1.28,2,80,0,Regular,20.94
A02,2017,6,21.28,22.38,2,80,0,Regular,12.77
A02,2017,7,25.19,18.45,2,80,0,Regular,15.11
A02,2017,8,29.11,3.69,2,80,0,Regular,17.47
A02,2017,9,22.52,19.54,2,80,0,Regular,13.51
A02,2017,10,34.65,-3.64,2,80,0,Regular,20.79
A02,2017,11,34.52,1.99,2,80,0,Regular,20.71
A02,2017,12,31.3,7.24,2,80,0,Regular,18.78
A02,2018,1,18.59,25.5,2,80,0,Regular,11.15
A02,2018,2,23.34,18.1,2,80,0,Regular,14.0
A02,2018,3,28.04,4.75,2,80,0,Regular,16.82
A02,2018,4,21.07,22.07,2,80,0,Regular,12.64
A02,2018,5,27.66,12.83,2,80,0,Regular,16.6
A02,2018,6,19.72,24.53,2,80,0,Regular,11.83
A02,2018,7,37.28,-4.03,2,80,0,Regular,22.37
A02,2018,8,31.41,4.14,2,80,0,Regular,18.85
A02,2018,9,15.52,29.42,2,80,0,Regular,9.31
A02,2018,10,24.13,15.88,2,80,0,Regular,14.48
A02,2018,11,21.36,22.52,2,80,0,Regular,12.81
A02,2018,12,15.97,29.45,2,80,0,Regular,9.58
A02,2019,1,17.9,26.48,2,80,0,Regular,10.74
A02,2019,2,34.34,-3.45,2,80,0,Regular,20.6
A02,2019,3,28.24,13.2,2,80,0,Regular,16.94
A02,2019,4,26.12,19.04,2,80,0,Regular,15.67
A02,2019,5,20.78,20.8,2,80,0,Regular,12.47
A02,2019,6,30.65,10.1,2,80,0,Regular,18.39
A02,2019,7,20.13,27.23,2,80,0,Regular,12.08
A02,2019,8,21.64,18.22,2,80,0,Regular,12.98
A02,2019,9,19.79,26.5,2,80,0,Regular,11.88
A02,2019,10,22.79,18.34,2,80,0,Regular,13.67
A02,2019,11,23.63,19.4,2,80,0,Regular,14.18
A02,2019,12,33.13,1.71,2,80,0,Regular,19.88
A02,2020,1,30.35,8.27,2,80,0,Regular,18.21
A02,2020,2,32.87,1.09,2,80,0,Regular,19.72
A02,2020,3,30.4,9.21,2,80,0,Regular,18.24
A02,2020,4,28.44,5.64,2,80,0,Regular,17.07
A02,2020,5,22.39,22.5,2,80,0,Regular,13.43
A02,2020,6,29.51,6.28,2,80,0,Regular,17.71
A02,2020,7,23.74,18.65,2,80,0,Regular,14.25
A02,2020,8,24.37,22.78,2,80,0,Regular,14.62
A02,2020,9,23.57,20.76,2,80,0,Regular,14.14
A02,2020,10,31.52,4.93,2,80,0,Regular,18.91
A02,2020,11,22.22,16.67,2,80,0,Regular,13.33
A02,2020,12,17.25,28.32,2,80,0,Regular,10.35
A02,2021,1,31.91,5.86,2,80,0,Regular,19.14
A02,2021,2,30.2,0.16,2,80,0,Regular,18.12
A02,2021,3,18.95,29.44,2,80,0,Regular,11.37
A02,2021,4,21.78,21.9,2,80,0,Regular,13.07
A02,2021,5,20.45,26.01,2,80,0,Regular,12.27
A02,2021,6,22.23,20.14,2,80,0,Regular,13.34
A02,2021,7,26.39,8.99,2,80,0,Regular,15.83
A02,2021,8,25.82,19.07,2,80,0,Regular,15.49
A02,2021,9,22.76,25.12,2,80,0,Regular,13.65
A02,2021,10,20.19,22.24,2,80,0,Regular,12.11
A02,2021,11,22.6,23.14,2,80,0,Regular,13.56
A02,2021,12,27.71,11.26,2,80,0,Regular,16.63
A02,2022,1,17.17,27.11,2,80,0,Regular,10.3
A02,2022,2,32.95,-0.33,2,80,0,Regular,19.77
A02,2022,3,26.56,13.59,2,80,0,Regular,15.94
A02,2022,4,31.48,6.11,2,80,0,Regular,18.89
A02,2022,5,29.65,10.49,2,80,0,Regular,17.79
A02,2022,6,19.45,26.22,2,80,0,Regular,11.67
A02,2022,7,19.31,26.74,2,80,0,Regular,11.58
A02,2022,8,34.88,0.57,2,80,0,Regular,20.93
A02,2022,9,29.13,10.75,2,80,0,Regular,17.48
A02,2022,10,19.47,24.4,2,80,0,Regular,11.68
A02,2022,11,21.8,22.22,2,80,0,Regular,13.08
A02,2022,12,30.95,3.37,2,80,0,Regular,18.57
A02,2023,1,21.42,19.97,2,80,0,Regular,12.85
A02,2023,2,31.98,6.75,2,80,0,Regular,19.19
A02,2023,3,31.99,-2.18,2,80,0,Regular,19.2
A02,2023,4,26.71,8.41,2,80,0,Regular,16.03
A02,2023,5,31.25,2.49,2,80,0,Regular,18.75
A02,2023,6,29.51,6.58,2,80,0,Regular,17.7
A02,2023,7,36.41,-2.82,2,80,0,Regular,21.84
A02,2023,8,30.3,8.63,2,80,0,Regular,18.18
A02,2023,9,16.06,28.11,2,80,0,Regular,9.64
A02,2023,10,20.54,25.82,2,80,0,Regular,12.33
A02,2023,11,29.81,11.69,2,80,0,Regular,17.89
A02,2023,12,29.61,5.45,2,80,0,Regular,17.77
A03,2014,1,40.19,23.0,5,93,0,Malo,24.11
A03,2014,2,41.89,12.09,5,93,0,Malo,25.14
A03,2014,3,42.63,12.0,5,93,0,Malo,25.58
A03,2014,4,41.88,18.41,5,93,0,Malo,25.13
A03,2014,5,41.17,20.35,5,93,0,Malo,24.7
A03,2014,6,38.59,27.18,5,93,0,Malo,23.16
A03,2014,7,44.89,13.69,5,93,0,Malo,26.94
A03,2014,8,42.42,15.72,5,93,0,Malo,25.45
A03,2014,9,49.9,-2.06,5,93,0,Malo,29.94
A03,2014,10,34.72,25.34,5,93,0,Malo,20.83
A03,2014,11,46.21,4.11,5,93,0,Malo,27.73
A03,2014,12,42.87,10.91,5,93,0,Malo,25.72
A03,2015,1,35.08,25.79,5,93,0,Malo,21.05
A03,2015,2,34.68,28.29,5,93,0,Malo,20.81
A03,2015,3,37.01,24.22,5,93,0,Malo,22.21
A03,2015,4,36.0,21.22,5,93,0,Malo,21.6
A03,2015,5,33.49,28.32,5,93,0,Malo,20.09
A03,2015,6,53.34,-2.6,5,93,0,Malo,32.01
A03,2015,7,48.28,-3.59,5,93,0,Malo,28.97
A03,2015,8,49.51,3.65,5,93,0,Malo,29.7
A03,2015,9,39.36,16.75,5,93,0,Malo,23.61
A03,2015,10,41.2,11.57,5,93,0,Malo,24.72
A03,2015,11,35.0,28.17,5,93,0,Malo,21.0
A03,2015,12,46.53,3.97,5,93,0,Malo,27.92
A03,2016,1,43.98,16.21,5,93,0,Malo,26.39
A03,2016,2,40.9,20.14,5,93,0,Malo,24.54
A03,2016,3,47.8,0.73,5,93,0,Malo,28.68
A03,2016,4,44.25,15.25,5,93,0,Malo,26.55
A03,2016,5,44.17,15.15,5,93,0,Malo,26.5
A03,2016,6,47.88,8.14,5,93,0,Malo,28.73
A03,2016,7,48.88,1.94,5,93,0,Malo,29.33
A03,2016,8,35.72,24.07,5,93,0,Malo,21.43
A03,2016,9,38.41,19.4,5,93,0,Malo,23.05
A03,2016,10,41.66,18.95,5,93,0,Malo,25.0
A03,2016,11,38.26,22.87,5,93,0,Malo,22.96
A03,2016,12,51.28,-3.56,5,93,0,Malo,30.77
A03,2017,1,37.64,18.15,5,93,0,Malo,22.58
A03,2017,2,37.54,17.66,5,93,0,Malo,22.53
A03,2017,3,44.39,9.7,5,93,0,Malo,26.63
A03,2017,4,43.39,10.17,5,93,0,Malo,26.03
A03,2017,5,35.96,26.21,5,93,0,Malo,21.57
A03,2017,6,47.18,0.35,5,93,0,Malo,28.31
A03,2017,7,43.57,13.26,5,93,0,Malo,26.14
A03,2017,8,43.54,16.56,5,93,0,Malo,26.12
A03,2017,9,38.03,22.11,5,93,0,Malo,22.82
A03,2017,10,37.9,23.9,5,93,0,Malo,22.74
A03,2017,11,44.63,6.28,5,93,0,Malo,26.78
A03,2017,12,34.12,27.71,5,93,0,Malo,20.47
A03,2018,1,45.41,10.78,5,93,0,Malo,27.25
A03,2018,2,42.84,14.94,5,93,0,Malo,25.7
A03,2018,3,45.88,6.77,5,93,0,Malo,27.53
A03,2018,4,46.04,6.38,5,93,0,Malo,27.62
A03,2018,5,44.14,7.42,5,93,0,Malo,26.48
A03,2018,6,47.48,4.79,5,93,0,Malo,28.49
A03,2018,7,36.73,25.8,5,93,0,Malo,22.04
A03,2018,8,40.91,13.08,5,93,0,Malo,24.54
A03,2018,9,47.01,3.45,5,93,0,Malo,28.21
A03,2018,10,40.53,14.43,5,93,0,Malo,24.32
A03,2018,11,44.74,11.66,5,93,0,Malo,26.84
A03,2018,12,41.06,10.69,5,93,0,Malo,24.64
A03,2019,1,46.08,5.3,5,93,0,Malo,27.65
A03,2019,2,48.53,3.52,5,93,0,Malo,29.12
A03,2019,3,45.66,7.92,5,93,0,Malo,27.4
A03,2019,4,48.76,7.03,5,93,0,Malo,29.26
A03,2019,5,41.28,14.26,5,93,0,Malo,24.77
A03,2019,6,42.7,10.88,5,93,0,Malo,25.62
A03,2019,7,49.09,3.07,5,93,0,Malo,29.46
A03,2019,8,47.74,6.04,5,93,0,Malo,28.64
A03,2019,9,36.3,28.28,5,93,0,Malo,21.78
A03,2019,10,49.88,1.7,5,93,0,Malo,29.93
A03,2019,11,47.5,4.68,5,93,0,Malo,28.5
A03,2019,12,39.08,21.61,5,93,0,Malo,23.45
A03,2020,1,36.64,29.32,5,93,0,Malo,21.98
A03,2020,2,45.78,5.37,5,93,0,Malo,27.47
A03,2020,3,47.76,5.58,5,93,0,Malo,28.66
A03,2020,4,46.86,-0.57,5,93,0,Malo,28.11
A03,2020,5,49.6,-3.09,5,93,0,Malo,29.76
A03,2020,6,36.11,28.04,5,93,0,Malo,21.66
A03,2020,7,36.24,21.35,5,93,0,Malo,21.74
A03,2020,8,50.29,-4.57,5,93,0,Malo,30.17
A03,2020,9,42.47,11.75,5,93,0,Malo,25.48
A03,2020,10,33.42,28.79,5,93,0,Malo,20.05
A03,2020,11,34.4,25.16,5,93,0,Malo,20.64
A03,2020,12,50.61,-2.71,5,93,0,Malo,30.36
A03,2021,1,42.82,15.2,5,93,0,Malo,25.69
A03,2021,2,51.01,0.31,5,93,0,Malo,30.61
A03,2021,3,32.7,28.22,5,93,0,Malo,19.62
A03,2021,4,47.81,3.69,5,93,0,Malo,28.68
A03,2021,5,45.09,9.57,5,93,0,Malo,27.06
A03,2021,6,42.63,16.64,5,93,0,Malo,25.58
A03,2021,7,47.59,8.31,5,93,0,Malo,28.56
A03,2021,8,47.13,5.41,5,93,0,Malo,28.28
A03,2021,9,44.71,10.01,5,93,0,Malo,26.82
A03,2021,10,53.51,-2.89,5,93,0,Malo,32.1
A03,2021,11,51.64,-1.53,5,93,0,Malo,30.98
A03,2021,12,39.44,16.89,5,93,0,Malo,23.66
A03,2022,1,48.82,-2.16,5,93,0,Malo,29.29
A03,2022,2,40.08,14.32,5,93,0,Malo,24.05
A03,2022,3,45.79,9.3,5,93,0,Malo,27.47
A03,2022,4,40.77,11.45,5,93,0,Malo,24.46
A03,2022,5,45.45,5.08,5,93,0,Malo,27.27
A03,2022,6,34.18,25.09,5,93,0,Malo,20.51
A03,2022,7,46.3,3.17,5,93,0,Malo,27.78
A03,2022,8,38.49,22.69,5,93,0,Malo,23.1
A03,2022,9,35.92,23.14,5,93,0,Malo,21.55
A03,2022,10,48.14,-0.98,5,93,0,Malo,28.88
A03,2022,11,47.79,0.21,5,93,0,Malo,28.67
A03,2022,12,46.67,-0.02,5,93,0,Malo,28.0
A03,2023,1,38.5,22.74,5,93,0,Malo,23.1
A03,2023,2,39.9,23.85,5,93,0,Malo,23.94
A03,2023,3,43.93,10.37,5,93,0,Malo,26.36
A03,2023,4,45.89,5.64,5,93,0,Malo,27.54
A03,2023,5,47.28,4.53,5,93,0,Malo,28.37
A03,2023,6,44.73,10.32,5,93,0,Malo,26.84
A03,2023,7,37.64,26.13,5,93,0,Malo,22.59
A03,2023,8,38.39,16.13,5,93,0,Malo,23.03
A03,2023,9,48.84,3.01,5,93,0,Malo,29.3
A03,2023,10,37.26,25.12,5,93,0,Malo,22.36
A03,2023,11,53.03,-4.27,5,93,0,Malo,31.82
A03,2023,12,37.88,23.75,5,93,0,Malo,22.73
A04,2014,1,39.8,17.8,5,62,0,Regular,23.88
A04,2014,2,46.04,1.35,5,62,0,Regular,27.62
A04,2014,3,37.54,17.22,5,62,0,Regular,22.52
A04,2014,4,46.19,-1.81,5,62,0,Regular,27.71
A04,2014,5,43.89,6.67,5,62,0,Regular,26.33
A04,2014,6,32.67,25.02,5,62,0,Regular,19.6
A04,2014,7,35.29,19.28,5,62,0,Regular,21.17
A04,2014,8,34.04,28.08,5,62,0,Regular,20.42
A04,2014,9,38.8,14.25,5,62,0,Regular,23.28
A04,2014,10,42.14,6.01,5,62,0,Regular,25.28
A04,2014,11,31.15,28.96,5,62,0,Regular,18.69
A04,2014,12,42.62,13.01,5,62,0,Regular,25.57
A04,2015,1,37.45,18.02,5,62,0,Regular,22.47
A04,2015,2,39.59,9.46,5,62,0,Regular,23.76
A04,2015,3,43.91,7.66,5,62,0,Regular,26.34
A04,2015,4,39.32,16.89,5,62,0,Regular,23.59
A04,2015,5,45.43,2.12,5,62,0,Regular,27.26
A04,2015,6,32.09,27.47,5,62,0,Regular,19.26
A04,2015,7,34.21,19.44,5,62,0,Regular,20.53
A04,2015,8,32.32,29.06,5,62,0,Regular,19.39
A04,2015,9,42.46,3.38,5,62,0,Regular,25.48
A04,2015,10,39.37,14.28,5,62,0,Regular,23.62
A04,2015,11,50.02,-1.74,5,62,0,Regular,30.01
A04,2015,12,32.49,26.95,5,62,0,Regular,19.5
A04,2016,1,48.64,-0.89,5,62,0,Regular,29.18
A04,2016,2,41.28,12.44,5,62,0,Regular,24.77
A04,2016,3,38.44,12.81,5,62,0,Regular,23.06
A04,2016,4,36.97,24.22,5,62,0,Regular,22.18
A04,2016,5,44.74,3.53,5,62,0,Regular,26.85
A04,2016,6,44.52,8.43,5,62,0,Regular,26.71
A04,2016,7,42.08,12.79,5,62,0,Regular,25.25
A04,2016,8,32.24,25.24,5,62,0,Regular,19.34
A04,2016,9,34.36,22.65,5,62,0,Regular,20.62
A04,2016,10,32.4,27.7,5,62,0,Regular,19.44
A04,2016,11,33.04,23.72,5,62,0,Regular,19.82
A04,2016,12,44.0,5.45,5,62,0,Regular,26.4
A04,2017,1,31.16,29.96,5,62,0,Regular,18.69
A04,2017,2,46.33,0.2,5,62,0,Regular,27.8
A04,2017,3,42.97,7.08,5,62,0,Regular,25.78
A04,2017,4,38.92,14.02,5,62,0,Regular,23.35
A04,2017,5,41.2,6.26,5,62,0,Regular,24.72
A04,2017,6,36.92,19.41,5,62,0,Regular,22.15
A04,2017,7,46.27,3.17,5,62,0,Regular,27.76
A04,2017,8,49.4,-3.47,5,62,0,Regular,29.64
A04,2017,9,38.23,19.68,5,62,0,Regular,22.94
A04,2017,10,42.93,8.51,5,62,0,Regular,25.76
A04,2017,11,37.22,23.73,5,62,0,Regular,22.33
A04,2017,12,37.25,12.34,5,62,0,Regular,22.35
A04,2018,1,40.45,12.58,5,62,0,Regular,24.27
A04,2018,2,35.73,25.44,5,62,0,Regular,21.44
A04,2018,3,41.15,10.41,5,62,0,Regular,24.69
A04,2018,4,42.04,10.99,5,62,0,Regular,25.22
A04,2018,5,42.45,9.35,5,62,0,Regular,25.47
A04,2018,6,45.82,0.4,5,62,0,Regular,27.49
A04,2018,7,30.77,28.92,5,62,0,Regular,18.46
A04,2018,8,37.48,19.24,5,62,0,Regular,22.49
A04,2018,9,35.91,24.81,5,62,0,Regular,21.54
A04,2018,10,32.94,25.08,5,62,0,Regular,19.76
A04,2018,11,44.47,6.08,5,62,0,Regular,26.68
A04,2018,12,37.64,21.58,5,62,0,Regular,22.59
A04,2019,1,45.48,-3.74,5,62,0,Regular,27.29
A04,2019,2,40.18,17.09,5,62,0,Regular,24.11
A04,2019,3,32.73,29.91,5,62,0,Regular,19.64
A04,2019,4,38.7,10.19,5,62,0,Regular,23.22
A04,2019,5,39.84,17.18,5,62,0,Regular,23.91
A04,2019,6,42.1,10.53,5,62,0,Regular,25.26
A04,2019,7,30.17,26.62,5,62,0,Regular,18.1
A04,2019,8,33.53,22.87,5,62,0,Regular,20.12
A04,2019,9,40.01,8.12,5,62,0,Regular,24.01
A04,2019,10,39.8,13.59,5,62,0,Regular,23.88
A04,2019,11,32.85,22.74,5,62,0,Regular,19.71
A04,2019,12,49.54,-2.24,5,62,0,Regular,29.73
A04,2020,1,36.3,16.69,5,62,0,Regular,21.78
A04,2020,2,30.58,26.95,5,62,0,Regular,18.35
A04,2020,3,39.15,11.14,5,62,0,Regular,23.49
A04,2020,4,41.29,3.94,5,62,0,Regular,24.77
A04,2020,5,37.03,23.16,5,62,0,Regular,22.22
A04,2020,6,34.79,18.72,5,62,0,Regular,20.87
A04,2020,7,40.04,10.46,5,62,0,Regular,24.03
A04,2020,8,39.25,15.57,5,62,0,Regular,23.55
A04,2020,9,39.78,9.85,5,62,0,Regular,23.87
A04,2020,10,32.1,24.59,5,62,0,Regular,19.26
A04,2020,11,41.87,8.46,5,62,0,Regular,25.12
A04,2020,12,44.98,3.3,5,62,0,Regular,26.99
A04,2021,1,41.6,15.12,5,62,0,Regular,24.96
A04,2021,2,46.4,5.33,5,62,0,Regular,27.84
A04,2021,3,35.83,18.04,5,62,0,Regular,21.5
A04,2021,4,39.91,14.81,5,62,0,Regular,23.95
A04,2021,5,32.96,21.06,5,62,0,Regular,19.78
A04,2021,6,38.07,16.22,5,62,0,Regular,22.84
A04,2021,7,31.59,26.65,5,62,0,Regular,18.96
A04,2021,8,35.36,22.96,5,62,0,Regular,21.22
A04,2021,9,43.35,7.33,5,62,0,Regular,26.01
A04,2021,10,38.9,16.73,5,62,0,Regular,23.34
A04,2021,11,37.04,20.23,5,62,0,Regular,22.22
